1	NCT03769298	Recruiting	Interventional	CIRTEN-Simultaneous Pancreas-Kidney Transplant Recipients	February 15, 2019	18 Years to 70 Years   (Adult, Older Adult)	All	30
2	NCT03653546	Recruiting	Interventional	First Line Treatment in EGFR Mutation Positive Advanced NSCLC Patients With Central Nervous System Metastases	October 29, 2018	18 Years and older   (Adult, Older Adult)	All	300
3	NCT03641209	Recruiting	Interventional	Extremely Low Gestatonal Age Infants' Paracetamol Study	September 3, 2018	up to 96 Hours   (Child)	All	40
4	NCT03601000	Recruiting	Interventional	Efficacy Study of Yi-Zhi-An-Shen Granules For Older Adults With Amnestic Mild Cognitive Impairment	April 21, 2018	60 Years to 85 Years   (Adult, Older Adult)	All	80
5	NCT03498196	Recruiting	Interventional	A Window of Opportunity Trial: Avelumab in Non-metastatic Muscle Invasive Bladder Cancer	December 14, 2018	18 Years and older   (Adult, Older Adult)	All	10
6	NCT03453255	Recruiting	Interventional	DCHA as Postremission Therapy for AML With t(8;21)	January 1, 2018	14 Years to 65 Years   (Child, Adult, Older Adult)	All	120
7	NCT03420976	Recruiting	Interventional	Novel Supplement-based Therapy for the Treatment of Small Intestinal Bacterial Overgrowth	December 7, 2017	19 Years to 84 Years   (Adult, Older Adult)	All	10
8	NCT03395288	Recruiting	Interventional	Nutraceutical Efficacy for rUTI	March 22, 2018	20 Years and older   (Adult, Older Adult)	Female	180
9	NCT03361345	Recruiting	Interventional	Topical 5% Tranexamic Acid as a Treatment for Postinflammatory Hyperpigmentation Due to Acne Vulgaris	November 1, 2018	18 Years to 65 Years   (Adult, Older Adult)	All	25
10	NCT03354611	Recruiting	Interventional	Contrast-Enhanced Cone Beam Breast CT for Diagnostic Breast Imaging	September 10, 2018	35 Years and older   (Adult, Older Adult)	Female	100
11	NCT03334175	Recruiting	Interventional	Walnuts to Achieve Lasting NUTrition to Prevent Diabetes	May 21, 2018	18 Years to 65 Years   (Adult, Older Adult)	All	40
12	NCT03317327	Recruiting	Interventional	REirradiation and Programmed Cell Death Protein 1 (PD-1) Blockade On Recurrent Squamous Cell Head and Neck Tumors	September 9, 2017	18 Years and older   (Adult, Older Adult)	All	20
13	NCT03262961	Recruiting	Interventional	Use of Sildenafil Citrate in Management of Mild Pre-eclampsia	September 15, 2016	18 Years to 35 Years   (Adult)	Female	80
14	NCT03227731	Recruiting	Interventional	Immediate or Deferred Pre-exposure Prophylaxis for HIV Prevention: Safe Options for Pregnant and Lactating Women	September 28, 2017	18 Years to 50 Years   (Adult)	Female	842
15	NCT02786836	Recruiting	Interventional	13C-Methacetin Breath Test for the Prediction of Outcome in in ALI or ALF	June 2016	18 Years to 80 Years   (Adult, Older Adult)	All	200
16	NCT01203722	Recruiting	Interventional	Reduced Intensity, Partially HLA Mismatched BMT to Treat Hematologic Malignancies	September 2010	6 Months to 75 Years   (Child, Adult, Older Adult)	All	100
17	NCT03837717	Recruiting	Interventional	The Impact of Holding on Stress and Bonding in Mother-Infant Pairs During Therapeutic Hypothermia	December 4, 2018	up to 2 Days   (Child)	All	34
18	NCT03836508	Recruiting	Interventional	Effect of Dialysis Membranes on Inflammatory and Immune Processes in Hemodialysis	September 1, 2018	18 Years to 65 Years   (Adult, Older Adult)	All	52
19	NCT03833596	Recruiting	Interventional	Exclusive Enteral Nutrition and Corticosteroids Therapy in Crohn's Disease (EENCD)	October 25, 2018	18 Years to 75 Years   (Adult, Older Adult)	All	100
20	NCT03833531	Recruiting	Interventional	Effectiveness of PTSD-treatment Compared to Integrated PTSD-PD-treatment in Adult Patients With Comorbid PTSD and CPD	June 1, 2018	18 Years to 65 Years   (Adult, Older Adult)	All	160
21	NCT03833453	Recruiting	Interventional	Effectiveness of PTSD-treatment Compared to Integrated PTSD-PD-treatment in Adult Patients With Comorbid PTSD and BPD	June 1, 2018	18 Years to 65 Years   (Adult, Older Adult)	All	160
22	NCT03832712	Recruiting	Interventional	The Swedish Essential Tremor (SWEET) Trial	June 30, 2018	18 Years to 75 Years   (Adult, Older Adult)	All	100
23	NCT03832530	Recruiting	Interventional	Periconception PrEP for HIV-exposed Ugandan Women	November 27, 2017	18 Years to 35 Years   (Adult)	Female	150
24	NCT03830190	Recruiting	Interventional	Cost-effectiveness of Nursing Interventions for Patients With PD	January 7, 2019	18 Years and older   (Adult, Older Adult)	All	240
25	NCT03830008	Recruiting	Interventional	Scaling-up Psychological Interventions With Syrian Refugees in Switzerland	December 21, 2018	18 Years and older   (Adult, Older Adult)	All	80
26	NCT03829748	Recruiting	Interventional	Intermittent Suction Technique in the Diagnosis of Pancreatic Solid Lesions	January 16, 2019	18 Years and older   (Adult, Older Adult)	All	20
